topic:,freq_days,total_count,avg_count_per_day,share_days
0_pharma_pharmaceuticals_pharmaceutical_eikon coverage brief,3,155,51.666666666666664,1.0
1_earnings conference_fourth 2017 earnings_2017 financial earnings_2017 earnings,3,107,35.666666666666664,1.0
2_initial public offering_public offering_pricing_stockholders,2,68,34.0,0.6666666666666666
5_treasury yields_inflation fed_bond yields_cpi inflation,2,47,23.5,0.6666666666666666
26_recent volatility_trader_volatility_traders,1,53,53.0,0.3333333333333333
4_earnings earnings_2018 earnings_qtrly earnings_2017 earnings earnings,1,35,35.0,0.3333333333333333
29_super bowl_bowl_nbc_stadium,1,34,34.0,0.3333333333333333
3_fy earnings_earnings_operating earnings_net earnings,1,31,31.0,0.3333333333333333
7_immigration_bipartisan_senator_congressional,1,23,23.0,0.3333333333333333
